,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Oudtshoorn,0,ZA,1536904800,71,-33.59,22.2,55.4,6.93
1,Carnarvon,0,ZA,1536906853,67,-30.97,22.13,36.47,4.25
2,Atuona,12,PF,1536906556,100,-9.8,-139.03,79.4,17.78
3,Burmakino,0,RU,1536906854,78,57.43,40.31,56.09,7.94
4,Saldanha,0,PT,1536906854,88,41.42,-6.55,52.22,3.58
5,Hofn,100,IS,1536906559,100,64.25,-15.21,45.38,6.93
6,Punta Arenas,75,CL,1536904800,93,-53.16,-70.91,39.2,8.05
7,Tura,92,IN,1536906855,93,25.52,90.21,80.66,2.35
8,Mount Isa,0,AU,1536904800,13,-20.73,139.49,89.6,5.82
9,Victoria,90,BN,1536904800,74,5.28,115.24,87.8,4.7
10,Esperance,20,TT,1536904800,88,10.24,-61.45,78.8,6.15
11,Albany,75,US,1536904440,89,42.65,-73.75,66.02,2.57
12,Goderich,0,CA,1536906856,93,43.74,-81.71,66.98,10.96
13,Cape Town,75,ZA,1536904800,93,-33.93,18.42,53.6,9.17
14,Hermanus,36,ZA,1536906499,80,-34.42,19.24,53.57,7.27
15,Avarua,75,CK,1536904800,77,-21.21,-159.78,69.8,3.36
17,San Patricio,92,PY,1536906555,98,-26.98,-56.83,63.74,5.03
18,Norman Wells,90,CA,1536904800,59,65.28,-126.83,37.4,8.05
19,Prado,44,BR,1536906858,99,-17.34,-39.22,74.27,11.18
20,Hobart,0,AU,1536904800,52,-42.88,147.33,69.8,18.34
21,Rikitea,88,PF,1536906622,100,-23.12,-134.97,73.82,10.29
23,Yellowknife,90,CA,1536904800,100,62.45,-114.38,32,6.93
25,Talnakh,32,RU,1536906859,78,69.49,88.39,40.79,15.99
26,San Cristobal,75,EC,1536904800,81,-0.39,-78.55,48.2,3.36
27,Port Alfred,0,ZA,1536906859,92,-33.59,26.89,60.77,7.94
28,Busselton,36,AU,1536906860,100,-33.64,115.35,58.34,19.46
29,New Norfolk,0,AU,1536904800,57,-42.78,147.06,69.8,18.34
30,Saquarema,0,BR,1536904800,77,-22.93,-42.51,68,3.36
31,Strezhevoy,40,RU,1536903000,81,60.73,77.6,53.6,17.9
32,Camacha,40,PT,1536904800,83,33.08,-16.33,69.8,8.05
33,Dayong,92,PH,1536906861,100,11.74,122.04,79.04,26.17
34,East London,0,ZA,1536904800,63,-33.02,27.91,60.8,9.17
35,Halifax,5,CA,1536904800,93,44.65,-63.58,57.2,3.36
36,Touros,0,BR,1536906844,85,-5.2,-35.46,73.55,15.99
37,Norrtalje,0,SE,1536904200,81,59.76,18.7,53.6,10.29
38,Thompson,90,CA,1536904800,93,55.74,-97.86,42.8,13.87
39,Kavieng,24,PG,1536906862,100,-2.57,150.8,83.72,2.35
40,Graaff-Reinet,0,ZA,1536906863,53,-32.25,24.53,47,4.03
41,Vaini,8,IN,1536906618,82,15.34,74.49,80.66,3.69
42,Dikson,64,RU,1536906863,99,73.51,80.55,38.99,19.46
43,Shaoxing,75,CN,1536904800,66,30,120.58,87.8,6.71
44,Ushuaia,20,AR,1536904800,69,-54.81,-68.31,39.2,20.8
45,Areia Branca,40,BR,1536904800,61,-10.76,-37.31,77,12.75
49,Mar del Plata,0,AR,1536906280,57,-46.43,-67.52,52.49,22.03
50,Bredasdorp,100,ZA,1536904800,67,-34.53,20.04,57.2,5.82
51,Tuktoyaktuk,90,CA,1536901200,92,69.44,-133.03,28.4,13.87
52,Harper,90,US,1536904500,91,30.3,-99.24,73.94,6.6
53,Palauig,92,PH,1536906866,100,15.44,119.9,78.86,9.28
54,Mahebourg,40,MU,1536904800,61,-20.41,57.7,77,13.87
55,Namibe,76,AO,1536906553,100,-15.19,12.15,64.82,1.68
56,Cherskiy,76,RU,1536906866,59,68.75,161.3,45.2,2.57
57,Mandalgovi,0,MN,1536906866,72,45.76,106.27,43.22,18.01
58,Puerto Ayora,68,EC,1536906867,100,-0.74,-90.35,70.22,10.63
60,Torbay,90,CA,1536904800,100,47.66,-52.73,50,8.05
61,Bykovo,0,RU,1536906868,36,49.76,45.39,75.08,4.59
62,Longyearbyen,75,NO,1536904200,100,78.22,15.63,32,5.82
63,Lebu,44,ET,1536906868,80,8.96,38.73,61.67,3.58
64,Pesochenskiy,88,RU,1536906868,89,54.17,36.11,57.08,5.37
65,Kavaratti,8,IN,1536906554,100,10.57,72.64,82.19,3.58
66,Qaanaaq,0,GL,1536906625,100,77.48,-69.36,24.23,6.15
67,Otjimbingwe,0,NA,1536906869,75,-22.35,16.13,50.69,2.68
68,Selikhino,36,RU,1536906869,93,50.37,137.51,62.21,3.36
69,Kapaa,90,US,1536904560,90,22.08,-159.32,78.08,19.46
70,Ouesso,48,CG,1536906870,90,1.61,16.05,75.08,2.91
72,Lecce,40,IT,1536904800,88,40.36,18.17,75.2,3.13
73,Severo-Kurilsk,36,RU,1536906871,84,50.68,156.12,55.91,7.61
74,Shymkent,0,KZ,1536904800,23,42.31,69.59,73.4,8.95
75,Ancud,36,CL,1536906871,79,-41.87,-73.83,38.27,2.46
76,Beyneu,0,KZ,1536906871,33,45.32,55.19,70.04,10.96
77,Calabozo,0,VE,1536906872,83,8.92,-67.43,76.7,7.16
78,Port Augusta,88,AU,1536904800,12,-32.49,137.76,86,25.28
79,Chokurdakh,88,RU,1536906623,95,70.62,147.9,39.71,13.65
80,Cabo San Lucas,0,MX,1536906872,100,22.89,-109.91,84.17,8.05
81,Asyut,0,EG,1536901200,46,27.18,31.19,73.4,2.24
82,Coahuayana,80,MX,1536906873,95,18.62,-100.35,64.46,2.46
83,Lubaczow,20,PL,1536904800,88,50.16,23.12,62.6,4.47
85,Flin Flon,44,CA,1536906874,100,54.77,-101.88,40.52,7.94
86,Butaritari,80,KI,1536906553,100,3.07,172.79,85.25,10.63
87,Jamestown,80,AU,1536906446,22,-33.21,138.6,76.79,21.03
88,Husavik,76,CA,1536906874,94,50.56,-96.99,56.18,10.18
89,Nikolskoye,0,RU,1536904800,87,59.7,30.79,53.6,13.42
90,Kailua,75,US,1536904620,81,21.39,-157.74,80.06,10.29
91,Paraiso,0,MX,1536906875,64,24.01,-104.61,60.68,6.04
92,Sorland,75,NO,1536904200,81,67.67,12.69,50,20.8
93,Alice Springs,0,AU,1536904800,8,-23.7,133.88,89.6,13.87
95,Tateyama,75,JP,1536904800,73,36.66,137.31,77,6.93
96,Tiksi,0,RU,1536906463,80,71.64,128.87,46.01,4.14
97,Lamar,1,US,1536904380,50,38.09,-102.62,75.92,25.28
98,Arraial do Cabo,0,BR,1536906859,92,-22.97,-42.02,68.87,22.03
99,Komsomolskiy,92,RU,1536906877,100,67.55,63.78,45.74,9.62
100,Mopti,20,ML,1536904800,61,14.49,-4.19,80.6,27.51
101,Emilio Carranza,20,MX,1536906877,98,19.97,-96.61,70.31,1.79
102,Aklavik,20,CA,1536904800,86,68.22,-135.01,26.6,6.93
104,Caravelas,36,BR,1536906878,100,-17.73,-39.27,73.37,11.18
